dtc_code,description,possible_causes,causes,diagnostic_aids,application
P0098,Intake Air Temperature Sensor 2 Circuit High Indicates the sensor signal is greater than the self-test maximum. The intake air,"    Open circuit in the harness","    Sensor signal short to voltage"," Monitor the IAT2 PID value. A typical IAT2 temperature should be greater than the IAT1 temperature. Refer to Section 6 , Reference Values."," Key On Engine Off           Key On Engine Running             Continuous Memory"
P0102,Mass or Volume Air Flow A Circuit Low The mass air flow (MAF) sensor circuit is monitored by the powertrain control module,"    MAF sensor disconnected","    MAF circuit open to PCM"," A MAF V PID reading less than 0.23 volt in continuous memory or KOER indicates a hard fault."," Key On Engine Off             Key On Engine Running                Continuous Memory"
P0103,Mass or Volume Air Flow A Circuit High The mass air flow (MAF) sensor circuit is monitored by the powertrain control module,"     MAF sensor screen is blocked","     MAF circuit shorted to voltage"," A MAF V PID (MAF PID) reading greater than 4.6 volts during KOER indicates a hard fault. "," Key On Engine Off           Key On Engine Running                Continuous Memory"
P0104,"Mass or Volume Air Flow A Circuit Intermittent/Erratic A concern exists in the mass air flow (MAF) sensor A circuit, or the air tube containing the","     Intermittent circuit A open or short","     Air leaks in the tube from the MAF to the throttle body"," Verify the integrity of the MAF sensor circuit A for an intermittent concern. Check the MAF sensor tube for air leaks."," Key On Engine Off           Key On Engine Running                Continuous Memory"
P0106,Manifold Absolute Pressure (MAP/BARO) Sensor Range/Performance MAP sensor input to the powertrain control module (PCM) is monitored and is not within,"     Slow responding MAP sensor","     Electrical circuit failure"," VREF voltage should be between 4.0 and 6.0 volts. The PID reading is in frequency. "," Key On Engine Off            Key On Engine Running         Continuous Memory"
P0107,Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) Sensor Low MAP sensor operating voltage is below the minimum calibrated parameter of 0.25,"     Open in the circuit, or short to ground","     VREF circuit open, or short to ground"," Aids: VREF should be greater than 4.0 volts. The PID reading is in frequency/volts."," Key On Engine Off            Key On Engine Running        Continuous Memory"
P0182,Fuel Temperature Sensor A Circuit Low The comprehensive component monitor (CCM) monitors the fuel temperature sensor,"     Short in the harness","     VREF open or short"," Verify the FRT PID and VREF values to determine an open or short. "," Key On Engine Off        Key On Engine Running              Continuous Memory"
P0108,Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) Sensor High Sensor operating voltage is greater than 5 volts (VREF). As a result it failed above the,"     VREF shorted to VPWR","     MAP signal shorted to VPWR"," VREF should be greater than 4.0 volts. The PID reading is in frequency/volts. "," Key On Engine Off               Key On Engine Running         Continuous Memory"
P0109,Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) Sensor Intermittent The sensor signal to the powertrain control module (PCM) is failing intermittently.," Causes:              Loose electrical connection",," Aids: Check the harness and connection."," Key On Engine Off          Key On Engine Running       Continuous Memory"
P0111,Intake Air Temperature (IAT) Sensor 1 Circuit Range/Performance Indicates the IAT rationality test has failed. This DTC indicates that the IAT value is higher,"     IAT Sensor"," "," Make sure the IAT and the CHT or ECT are similar when the engine is cold. "," Key On Engine Off           Key On Engine Running            Continuous Memory"
P0112,Intake Air Temperature (IAT) Sensor 1 Circuit Low Indicates the sensor signal is less than the self-test minimum. The IAT sensor minimum Indicates the sensor signal is greater than the self-test maximum. The IAT sensor,"    Grounded circuit in the harness     Open circuit in the harness","    Damaged sensor     Sensor signal short to voltage"," An IAT V PID reading less than 0.2 volt with key ON engine OFF or during any engine operating mode indicates a concern is present. An IAT V PID reading greater than 4.6 volts with the key ON engine OFF or during any engine operating mode indicates a concern is present."," Key On Engine Off           Key On Engine Running           Continuous Memory Key On Engine Off           Key On Engine Running           Continuous Memory"
P0114,Intake Air Temperature (IAT) Sensor 1 Intermittent/Erratic Indicates the sensor signal was intermittent during the comprehensive component,"     Damaged harness","     Damaged sensor"," Monitor the IAT on a scan tool. Look for sudden changes in the reading when the harness is wiggled or the sensor is tapped."," Key On Engine Off         Key On Engine Running          Continuous Memory"
P0116,Engine Coolant Temperature (ECT) Sensor 1 Circuit Range/Performance Indicates the engine coolant temperature rationality test has failed. This DTC indicates,"     ECT or CHT sensor","     Coolant system concern"," Make sure the IAT and the ECT are similar when the engine is cold. Also make sure the ECT or CHT sensor and the actual engine operating temperatures are the same."," Key On Engine Off          Key On Engine Running           Continuous Memory"
P0117,Engine Coolant Temperature (ECT) Sensor 1 Circuit Low Indicates the sensor signal is less than the self-test minimum. The ECT sensor minimum,"        Grounded circuit in the harness","        Damaged sensor"," A concern is present if an ECT V PID reading less than 0.2 volt with the key ON engine OFF or during any engine operating mode."," Key On Engine Off           Key On Engine Running           Continuous Memory"
P0118,Engine Coolant Temperature (ECT) Sensor 1 Circuit High Indicates the sensor signal is greater than the self-test maximum. The ECT sensor,"        Open circuit in the harness","        Sensor signal short to voltage"," An ECT V PID reading greater than 4.6 volts with the key ON engine OFF or during any engine operating mode indicates a concern is present."," Key On Engine Off               Key On Engine Running           Continuous Memory"
P0119,Engine Coolant Temperature (ECT) Sensor 1 Circuit Intermittent/Erratic Indicates the ECT circuit became intermittently open or shorted while the engine was,"    Damaged harness","    Damaged sensor"," Aids: Monitor the ECT or the CHT on a scan tool, look for sudden changes in the reading"," Key On Engine Off        Key On Engine Running              Continuous Memory"
P0121,Throttle/Pedal Position Sensor A Circuit Range/Performance The electronic throttle control (ETC) throttle position (TP) sensor 1 circuit was flagged The throttle position (TP) sensor circuit is monitored by the powertrain control module,"    Obstruction in the throttle plate movement    Binding throttle linkage","    Damaged throttle body    Damaged throttle body"," Aids: This concern exhibits a symptom of limited power. A TP1 PID reading less than 13% Aids: Drive the vehicle, bring it to a stop, and turn the key to the OFF position. Start the"," Key On Engine Off         Key On Engine Running           Continuous Memory"
P0122,Throttle/Pedal Position Sensor A Circuit Low The ETC throttle position (TP) sensor 1 circuit was flagged as a concern by the The TP sensor circuit is monitored by the PCM for a high TP rotation angle (or," Causes:                 Open ETC TP sensor harness Causes:                 TP sensor not seated properly",," Aids:         This concern exhibits a symptom of limited power. A TP1 PID reading less than Aids:         This concern exhibits a symptom of limited power. A TP PID reading less than"," Key On Engine Off      Key On Engine Running           Continuous Memory"
P0123,Throttle/Pedal Position Sensor A Circuit High The ETC throttle position (TP) sensor 1 circuit was flagged as a concern by the The TP sensor circuit is monitored by the PCM for a high TP rotation angle (or Indicates the engine coolant temperature (ECT) or the cylinder heat temperature (CHT)," Causes:             TP sensor harness short to VREF Causes:             TP sensor not seated properly    Insufficient warm up time","    Low engine coolant level"," Aids:      Drive the vehicle, bring it to a stop, and turn the key to the OFF position. Start the Aids:      A TP PID reading greater than 93% (4.65 volts) in key ON, engine OFF or key ON, Aids: Compare the thermostat specification to the actual ECT using the engine temperature"," Key On Engine Off         Key On Engine Running           Continuous Memory Key On Engine Off         Key On Engine Running           Continuous Memory"
P0127,Intake Air Temperature (IAT) Too High Indicates that the IAT2 sensor has detected a concern in the charge air cooler CAC,"     Blockage of heat exchangers","     Low fluid level"," Monitor the IAT2 PID. A typical IAT2 temperature should be greater than the IAT1 temperature. Refer to Section 6 , Reference Values for IAT values."," Key On Engine Off              Key On Engine Running           Continuous Memory"
P0183,Fuel Temperature Sensor A Circuit High,"     Open circuit","     Open or short to voltage in the harness"," Verify the FRT PID value to determine an open or short. "," Key On Engine Off         Key On Engine Running             Continuous Memory"
P0190,Fuel Rail Pressure Sensor A Circuit The comprehensive component monitor (CCM) monitors the fuel rail pressure (FRP),"     VREF open in harness","     VREF open in sensor"," Verify a VREF voltage between 4 and 6 volts. "," Key On Engine Off           Key On Engine Running             Continuous Memory"
P0191,Fuel Rail Pressure Sensor A Circuit Range/Performance The comprehensive component monitor (CCM) checks the fuel rail pressure (FRP) sensor,"     High fuel pressure","     Low fuel pressure"," A FRP PID value during key ON, engine running of 138 kPa (20 psi) to 413 kPa (60 psi) is acceptable."," Key On Engine Off        Key On Engine Running              Continuous Memory"
P0128,Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature) Indicates that the thermostat monitor has not achieved the required engine Manifold absolute pressure (MAP) sensor input to the powertrain control module (PCM) is MAP sensor operating voltage is below the minimum calibrated parameter of 0.25 Manifold absolute pressure (MAP) sensor operating voltage is above the maximum The sensor signal to the powertrain control module (PCM) is intermittent.," Causes:                  Insufficient warm up time    Slow responding MAP sensor    Open in the circuit, or short to ground     VREF shorted to VPWR Causes:              Loose electrical connection","    Electrical circuit failure    VREF circuit open, or short to ground     MAP signal shorted to VPWR"," Aids:       Refer to Section 1, Thermostat Monitor for system information. VREF voltage should be between 4.0 and 6.0 volts. The PID reading is in frequency.  Aids: VREF should be greater than 4.0 volts. The PID reading is in frequency/volts. VREF should be greater than 4.0 volts.  Aids: Check the harness and connection."," Key On Engine Off      Key On Engine Running          Continuous Memory Key On Engine Off             Key On Engine Running           Continuous Memory Key On Engine Off           Key On Engine Running             Continuous Memory Key On Engine Off           Key On Engine Running         Continuous Memory Key On Engine Off      Key On Engine Running Continuous Memory"
P0132,"O2 Circuit High Voltage (Bank 1, Sensor 1) The heated oxygen sensor (HO2S) signals are monitored for an over voltage condition. The heated oxygen sensor (HO2S) monitor checks the HO2S frequency and amplitude.","        Short to VPWR in the harness or HO2S    Contaminated HO2S","     Exhaust leaks"," An HO2S PID switching across 0.45 volt from 0.2 to 0.9 volt indicates a normal switching HO2S. An HO2S PID voltage of 1.5 volts or greater indicates a short to voltage. Access the HO2S test results from the generic OBD menu to verify the DTC. "," Key On Engine Off             Key On Engine Running          Continuous Memory Key On Engine Off        Key On Engine Running               Continuous Memory"
P0135,"O2 Heater Circuit (Bank 1, Sensor 1) During testing the heated oxygen sensor (HO2S) heaters are checked for open and short","     Vacuum hose disconnected on exhaust gas recirculation (EGR) system module"," (ESM) applications"," Check the HO2S electrical connector for damage, corrosion, and water intrusion. Damaged HO2S heater."," Key On Engine Off        Key On Engine Running              Continuous Memory"
P0138,"O2 Circuit High Voltage (Bank 1, Sensor 2) See the description for DTC P0132."," Causes: See the possible causes for DTC P0132.",," Aids: See the diagnostic aids for DTC P0132."," Key On Engine Off Key On Engine Running Continuous Memory"
P0139,"O2 Circuit Slow Response (Bank 1, Sensor 2) The heated oxygen sensor (HO2S) monitor tracks the rate of voltage change during the rise","    Contaminated or damaged HO2S","    Deteriorating HO2S"," Access the HO2S test results from the generic OBD menu to verify the DTC. "," Key On Engine Off        Key On Engine Running              Continuous Memory"
P0141,"O2 Heater Circuit (Bank 1, Sensor 2) See the description for DTC P0135."," Causes: See the possible causes for DTC P0135.",," Aids: See the diagnostic aids for DTC P0135."," Key On Engine Off Key On Engine Running Continuous Memory"
P0144,"O2 Circuit High Voltage (Bank 1, Sensor 3) See the description for DTC P0132."," Causes: See the possible causes for DTC P0132.",," Aids: See the diagnostic aids for DTC P0132."," Key On Engine Off Key On Engine Running Continuous Memory"
P0147,"O2 Heater Circuit (Bank 1, Sensor 3) See the description for DTC P0135."," Causes: See the possible causes for DTC P0135.",," Aids: See the diagnostic aids for DTC P0135."," Key On Engine Off Key On Engine Running Continuous Memory"
P0148,Fuel Delivery Error At least 1 bank is lean at wide open throttle (WOT).," Causes:          Severely restricted fuel filter",," Aids:"," Key On Engine Off Key On Engine Running              Continuous Memory"
P0152,"O2 Circuit High Voltage (Bank 2, Sensor 1) See the description for DTC P0132. See the description for DTC P0133."," Causes: See the possible causes for DTC P0132. Causes: See the possible causes for DTC P0133.",," Aids: See the diagnostic aids for DTC P0132. Aids: See the diagnostic aids for DTC P0133."," Key On Engine Off Key On Engine Running              Continuous Memory Key On Engine Off Key On Engine Running          Continuous Memory"
P0155,"O2 Heater Circuit (Bank 2, Sensor 1) See the description for DTC P0135."," Causes: See the possible causes for DTC P0135.",," Aids: See the diagnostic aids for DTC P0135."," Key On Engine Off Key On Engine Running Continuous Memory"
P0158,"O2 Circuit High Voltage (Bank 2, Sensor 2) See the description for DTC P0132."," Causes: See the possible causes for DTC P0132.",," Aids: See the diagnostic aids for DTC P0132."," Key On Engine Off Key On Engine Running          Continuous Memory"
P0159,"O2 Circuit Slow Response (Bank 2, Sensor 2) See the description for DTC P0139."," Causes: See the possible causes for DTC P0139.",," Aids: See the diagnostic aids for DTC P0139."," Key On Engine Off Key On Engine Running          Continuous Memory"
P0161,"O2 Heater Circuit (Bank 2, Sensor 2) See the description for DTC P0135."," Causes: See the possible causes for DTC P0135.",," Aids: See the diagnostic aids for DTC P0135."," Key On Engine Off Key On Engine Running Continuous Memory"
P0171,System Too Lean (Bank 1) The adaptive fuel strategy continuously monitors the fuel delivery hardware. The test fails," Fuel System:"," "," View freeze frame data to determine the operating conditions when the DTC was set. Observe the LONGFT1 and LONGFT2 PIDs. Refer to Section 2, Adaptive Fuel DTC Techniques for more information."," Key On Engine Off          Key On Engine Running             Continuous Memory"
P0172,System Too Rich (Bank 1) The adaptive fuel strategy continuously monitors the fuel delivery hardware. The test fails," Fuel System:"," "," View freeze frame data to determine the operating conditions when the DTC was set. Observe the LONGFT1 and LONGFT2 PIDs. Refer to Section 2, Adaptive Fuel DTC Techniques for more information."," Key On Engine Off       Key On Engine Running              Continuous Memory"
P0174,System Too Lean (Bank 2) See the description for DTC P0171.," Causes: See the possible causes for DTC P0171.",," Aids: See the diagnostic aids for DTC P0171."," Key On Engine Off Key On Engine Running Continuous Memory"
P0175,System Too Rich (Bank 2) See the description for DTC P0172.," Causes: See the possible causes for DTC P0172.",," Aids: See the diagnostic aids for DTC P0172."," Key On Engine Off Key On Engine Running Continuous Memory"
P0180,Fuel Temperature Sensor A Circuit The comprehensive component monitor (CCM) monitors the fuel temperature sensor,"     Open or short in the harness","     Low ambient temperature operation"," Verify the FRT PID value to determine an open or short. "," Key On Engine Off       Key On Engine Running               Continuous Memory"
P0181,Fuel Temperature Sensor A Circuit Range/Performance The comprehensive component monitor (CCM) monitors the fuel temperature sensor for,"     Open or short in the harness","     Low ambient temperature operation"," Verify the FRT PID value to determine an open or short. "," Key On Engine Off         Key On Engine Running             Continuous Memory"
P0192,Fuel Rail Pressure Sensor A Circuit Low The comprehensive component monitor (CCM) monitors the fuel rail pressure (FRP),"     FRP signal short to SIG RTN or PWR GND","     Damaged FRP sensor"," A FRP PID value during key ON, engine OFF or key ON, engine running less than 0.3 volt indicates a concern is present."," Key On Engine Off        Key On Engine Running              Continuous Memory"
P0193,Fuel Rail Pressure Sensor A Circuit High The comprehensive component monitor (CCM) monitors the fuel rail pressure (FRP),"     FRP signal short to VREF or VPWR","     FRP signal open"," An FRP signal high condition can be caused by any number of conditions, including a short on FRP signal to VREF, a more positive voltage level, an open FRP signal or signal return."," Key On Engine Off       Key On Engine Running               Continuous Memory"
P0196,Engine Oil Temperature (EOT) Sensor Circuit Range/Performance Indicates the value from the EOT sensor is not within the powertrain control module (PCM),"     Engine not at operating temperature","     Cooling system problem or stuck thermostat"," The EOT rationality test looks for the EOT sensor value to be within a calibrated delta of the PCM predicted engine oil temperature. Make sure the EOT sensor reading is similar to"," Key On Engine Off       Key On Engine Running            Continuous Memory"
P0197,Engine Oil Temperature (EOT) Sensor Circuit Low Indicates EOT signal voltage is low (high temperature).,"    Damaged harness","    Damaged harness connector"," An EOT V PID reading less than 0.2 volt with the key on engine off (KOEO) or during any engine operating mode indicates a short to ground."," Key On Engine Off       Key On Engine Running           Continuous Memory"
P0198,Engine Oil Temperature (EOT) Sensor Circuit High Indicates EOT signal voltage is high (low temperature). Note: x represents injector numbers 1 through 9.,"    Damaged harness     Open circuit","    Damaged harness connector     Damaged fuel injector"," An EOT V PID reading greater than 4.5 volts with the key ON engine OFF or during any engine operating mode indicates an open circuit. PID Data Monitor INJx_F fault flags equals YES. This DTC is set when a concern is detected between the PCM and the fuel injector."," Key On Engine Off       Key On Engine Running            Continuous Memory Key On Engine Off        Key On Engine Running         Continuous Memory"
P0210,Injector Circuit/Open - Cylinder 10 See the description for DTC P020x.," Causes: See the possible causes for DTC P020x.",," Aids: See the diagnostic aids for DTC P020x."," Key On Engine Off Key On Engine Running Continuous Memory"
P0217,Engine Coolant Over-Temperature Condition Indicates an engine overheat condition was detected by the engine temperature sensor Indicates a transmission overheat condition was sensed by the transmission fluid,"     Engine cooling system concerns    Low transmission fluid level","     Low engine coolant level    Transmission cooling system concerns"," Monitor the engine temperature PID (CHT or ECT) for an overheat condition. Typical engine temperature should be close to cooling system thermostat specification. Monitor the transmission temperature PID TFT for an overheat condition. "," Key On Engine Off        Key On Engine Running         Continuous Memory Key On Engine Off         Key On Engine Running              Continuous Memory"
P0219,Engine Over Speed Condition Indicates the vehicle has been operated in a manner which caused the engine speed to,"     Wheel slippage (water, ice, mud, and snow)","     Excessive engine RPM in NEUTRAL or operated in the wrong transmission gear"," The DTC indicates the vehicle has been operated in a manner which caused the engine speed to exceed a calibrated limit."," Key On Engine Off          Key On Engine Running                Continuous Memory"
P0221,Throttle/Pedal Position Sensor/Switch B Circuit Range/Performance The electronic throttle control (ETC) throttle position (TP) sensor 2 circuit was flagged as a,"    Binding throttle linkage","    Damaged throttle body"," This concern exhibits a symptom of limited power. A TP2 PID reading greater than 96.42% (4.65 volts) during key ON, engine OFF or key ON, engine running indicates a concern is"," Key On Engine Off          Key On Engine Running              Continuous Memory"
P0222,Throttle/Pedal Position Sensor/Switch B Circuit Low The electronic throttle control (ETC) throttle position (TP) sensor 2 circuit was flagged as a,"     Open ETC TP sensor harness","     Short to ground in the ETC TP sensor harness"," This concern exhibits a symptom of limited power. A TP2 PID reading less than 3.42% (0.17 volt) during key ON, engine OFF or key ON, engine running indicates a concern is"," Key On Engine Off          Key On Engine Running              Continuous Memory"
P0223,Throttle/Pedal Position Sensor/Switch B Circuit High The electronic throttle control (ETC) throttle position (TP) sensor 2 circuit was flagged as a,"     ETC TP sensor harness shorted to VREF","     Damaged TP sensor"," This concern exhibits a symptom of limited power. A TP2 PID reading greater than 93% (4.65 volts) in key ON, engine OFF or key ON, engine running indicates a concern is"," Key On Engine Off       Key On Engine Running              Continuous Memory"
P0230,Fuel Pump Primary Circuit,"        Open or shorted (FP) circuit","        Open VPWR circuit to the fuel pump relay"," A concern is present when the FP_F PID reads YES. An open circuit or short to ground can only be detected with the fuel pump commanded OFF. A short to voltage can only be"," Key On Engine Off          Key On Engine Running           Continuous Memory"
P0231,Fuel Pump Secondary Circuit Low The powertrain control module (PCM) monitors the fuel pump monitor (FPM) circuit. The,"     Open B+ circuit to the fuel pump relay","     Open FP PWR circuit between the fuel pump relay and its connection to the FPM"," During the key on engine off (KOEO) self-test, the PCM commands the fuel pump ON so this test can be carried out."," Key On Engine Off           Key On Engine Running           Continuous Memory"
P0232,Fuel Pump Secondary Circuit High The powertrain control module (PCM) monitors the fuel pump monitor (FPM) circuit. This,"     Inertia fuel shutoff (IFS) switch not reset or electrically open","     Open circuit between the fuel pump and the FPM connection to the FP PWR circuit"," Continuous memory P0232 can be set if the IFS switch is tripped then reset, or if the fuel pump circuit is activated when the PCM expected the circuit to be off. This DTC may set"," Key On Engine Off         Key On Engine Running           Continuous Memory"
P0297,Vehicle Over Speed Condition Indicates the vehicle has been operated in a manner which caused the vehicle speed to,"     Vehicle driven at a high rate of speed"," "," The DTC indicates the vehicle has been operated in a manner which caused the engine speed to exceed a calibrated limit."," Key On Engine Off        Key On Engine Running            Continuous Memory"
P0298,Engine Oil Over Temperature Condition Indicates the engine oil temperature protection strategy in the powertrain control module,"     Very high engine RPM for an extended period of time","     Overheating condition"," The engine is operating in high RPM range due to improper gear selection. This may cause a lack/loss of power or surge."," Key On Engine Off            Key On Engine Running          Continuous Memory"
P0300,Random Misfire Detected The random misfire DTC indicates multiple cylinders are misfiring or the powertrain control NOTE: x represents cylinder numbers 1 through 9.,"     Camshaft position sensor (CMP)        Ignition system","     Low fuel (less than 1/8 tank)        Fuel injectors"," One or more EGR passages may be blocked or partially blocked. If this is the case the misfire detection monitor indicates the EGR port to check for possible blockage. The malfunction indicator lamp (MIL) blinks once per second when a misfire severe enough to cause catalyst damage is detected. If the MIL is on steady state due to a misfire, this"," Key On Engine Off         Key On Engine Running          Continuous Memory Key On Engine Off         Key On Engine Running             Continuous Memory"
P0310,Cylinder 10 Misfire Detected See the description for DTC P030x.," Causes: See the possible causes for DTC P030x.",," Aids: See the diagnostic aids for DTC P030x."," Key On Engine Off Key On Engine Running        Continuous Memory"
P0315,Crankshaft Position System Variation Not Learned. The powertrain control module (PCM) is unable to learn and correct for mechanical,"     Damaged crankshaft pulse wheel teeth","     Damaged crankshaft position (CKP) sensor"," Requires visual inspection of the CKP sensor and the crankshaft pulse wheel teeth for damage."," Key On Engine Off         Key On Engine Running            Continuous Memory"
P0316,"Misfire Detected On Startup (First 1000 Revolutions) DTC P0316 is set in addition to any type B misfire DTC which occurs in the first 1,000","     Damaged crankshaft position (CKP) sensor","     Ignition system"," Freeze frame data and the DTC P03xx are also stored, indicating which cylinder the misfire occurred."," Key On Engine Off           Key On Engine Running            Continuous Memory"
P0320,Ignition/Distributor Engine Speed Input Circuit The ignition engine speed sensor input signal to powertrain control module (PCM) is,"        Loose wires/connectors","        Arcing secondary ignition components (coil, wires and plugs)"," The DTC indicates that 2 successive erratic PIP pulses occurred. "," Key On Engine Off              Key On Engine Running            Continuous Memory"
P0325,Knock Sensor 1 Circuit (Bank 1) The KS detects vibrations upon increase and decrease in engine RPM. The knock sensor See the description for DTC P0325.,"        KS circuit short to GND Causes: See the possible causes for DTC P0325.","        KS sensor circuit short to voltage"," A knock sensor voltage greater than 0.5 volt with the key ON engine OFF indicates a concern is present. Aids: See the diagnostic aids for DTC P0325."," Key On Engine Off             Key On Engine Running            Continuous Memory Key On Engine Off Key On Engine Running       Continuous Memory"
P0330,Knock Sensor 2 Circuit (Bank 2) See the description for DTC P0325.," Causes: See the possible causes for DTC P0325.",," Aids: See the diagnostic aids for DTC P0325."," Key On Engine Off Key On Engine Running       Continuous Memory"
P0331,Knock Sensor 2 Circuit Range/Performance (Bank 2) See the description for DTC P0325.," Causes: See the possible causes for DTC P0325.",," Aids: See the diagnostic aids for DTC P0325."," Key On Engine Off Key On Engine Running       Continuous Memory"
P0340,Camshaft Position Sensor A Circuit (Bank 1 or single sensor) The test fails when the powertrain control module (PCM) can no longer detect the signal,"     CMP circuit open","     CMP circuit short to GND"," Harness routing, harness alterations, improper shielding, or electrical interference from other improperly functioning systems may have an intermittent impact on the CMP signal."," Key On Engine Off          Key On Engine Running             Continuous Memory"
P0344,Camshaft Position Sensor A Circuit Intermittent (Bank 1 or single sensor) The test fails when the powertrain control module (PCM) detects an intermittent signal,"    Intermittent open circuit","    Intermittent short circuit"," Harness routing, harness alterations, improper shielding, or electrical interference from other improperly functioning systems may have an intermittent impact on the CMP signal."," Key On Engine Off          Key On Engine Running             Continuous Memory"
P0345,Camshaft Position Sensor A Circuit (Bank 2) The test fails when the powertrain control module (PCM) can no longer detect the signal See the description for DTC P0344.," See the possible causes for DTC P0340. Causes: See the possible causes for DTC P0344."," "," See the diagnostic aids for DTC P0340.  Aids: See the diagnostic aids for DTC P0344."," Key On Engine Off        Key On Engine Running            Continuous Memory Key On Engine Off Key On Engine Running            Continuous Memory"
P0350,Ignition Coil Primary/Secondary Circuit Each ignition primary circuit is continuously monitored. The test fails when the powertrain,"     Open or short in the ignition START/RUN circuit","     Open coil driver circuit"," Use the 12-volt non-powered test lamp to verify START/RUN voltage at the ignition coil harness connector."," Key On Engine Off         Key On Engine Running            Continuous Memory"
P0351,Ignition Coil A Primary/Secondary Circuit See the description for DTC P0350. See the description for DTC P0350.," Causes:                     See the possible causes for DTC P0350. Causes:               See the possible causes for DTC P0350.",," Aids:                     See the diagnostic aids for DTC P0350. Aids:               See the diagnostic aids for DTC P0350."," Key On Engine            Key On Engine          Continuous Memory Key On Engine        Key On Engine          Continuous Memory"
P0353,Ignition Coil C Primary/Secondary Circuit See the description for DTC P0350.," Causes:               See the possible causes for DTC P0350.",," Aids:               See the diagnostic aids for DTC P0350."," Key On Engine        Key On Engine          Continuous Memory"
